Company;Var;Sales/Revenue;Cost of Goods Sold (COGS) incl. D&A;Short term Debt;Long Term Debt;Total Assets/Liabilities;Total Equity;Net Operating Cash Flow;Net Investing CashFlow;FreeCashFlow;Variation EPS année suivante(+ =>1 & - =>0)
Vivendi;Var 2018_2019;0.141113982199254;0.16056410919912;0.577464788732394;0.870331640274873;0.0940997246147536;-0.11172578989392;0.0647668393782383;-2.27839116719243;0.0161090458488228;0
Vivendi;Var 2019_2020;-0.45477418543213;-0.447714604236343;0.479166666666667;-0.182907348242811;0.0207786643817276;0.0549598715890851;0.032441200324412;-0.0573719925971622;0.0975609756097561;1
Vivendi;Var 2020_2021;0.00565297646515921;-0.00686314089624546;-0.631287726358149;-0.196676441837732;-0.124731126383715;0.168157750593391;0.432835820895522;0.768378063010502;0.54;0
Accor;Var 2018_2019;0.233698964046313;0.237747653806048;-0.758675078864353;0.196014492753623;0.0741425818882466;0.0825702312587304;0.319383259911894;-0.783322390019698;0.359773371104816;0
Accor;Var 2019_2020;-0.599654235613732;-0.394271272114575;2.16666666666667;0.147228112693123;-0.242806916840066;-0.546953405017921;-1.82971619365609;1.68181818181818;-2.17291666666667;1
Accor;Var 2020_2021;0.359654534238125;0.114742698191933;-0.34984520123839;0.0124108793240032;0.0204681133327016;0.138291139240506;0.470824949698189;-1.12542372881356;0.390763765541741;1
Thales;Var 2018_2019;0.160580258593504;0.169081718618366;4.42367601246106;0.787463677874637;0.224143338822238;-0.0410126582278481;0.821392532795156;-12.2234957020057;1.09445277361319;0
Thales;Var 2019_2020;-0.16466496386066;-0.15032067449737;0.242963813900057;0.209939619136089;0.0184799666912212;-0.0603660682858149;-0.270360110803324;0.922643553629469;-0.328561202576951;1
Thales;Var 2020_2021;0.0534122698588251;0.0312102451021966;-0.486598890942699;-0.116698656429942;0.0325471698113208;0.258475369919461;0.866362946089598;-0.0280112044817927;1.1407249466951;1
FNAC Darty;Var 2018_2019;0.0304262478968031;0.0714051752374713;0.4;1.22573099415205;0.276719288695337;0.108643933386201;1.10921217173822;-0.991778774289985;1.47076735688185;0
FNAC Darty;Var 2019_2020;0.0193223567832358;0.0259859370223173;6.18181818181818;-0.0614818707304256;0.0160602615122229;-0.0178826895565093;0.0300395256916996;0.466791744840525;0.140744392408183;1
FNAC Darty;Var 2020_2021;0.0736884261113336;0.0713647199046484;-0.996383363471971;0.0207166853303471;-0.0264372639530004;0.139111434814275;-0.0376055257099002;0.220267417311752;-0.168539325842697;0
Group LDLC;Var 2019_2020;-0.0277796387740545;-0.0541642903498594;-0.81682287086881;-0.35339938726289;-0.151251010280967;0.150496435610736;2.77997565429093;2.7554607954051;-0.62790969704059;1
Group LDLC;Var 2020_2021;0.467512910522177;0.365677786371915;0.28497833977286;-0.54705378295277;0.429574147834902;0.626623116704293;3.10611061911279;-1.39996034106683;4.06474096428828;0
Group LDLC;Var 2021_2022;-0.0540959720467085;-0.0416110958862398;-0.424419134396355;0.66915201424438;-0.0430715567286102;0.148404433332677;-0.563644562958315;-0.146752602875558;-0.683484947950858;0
Dassault Aviation;Var 2018_2019;0.439929673764407;0.396708531831962;-0.5625;-0.355223880597015;-0.0987509529115112;0.0395136778115502;-1.05267358339984;-1.48854961832061;-1.23529411764706;0
Dassault Aviation;Var 2019_2020;-0.254917921584588;-0.168062015503876;-0.923344947735192;0.0231481481481481;-0.107879497690156;0.0256410256410256;-7.56060606060606;-0.487730061349693;-2.92424242424242;1
Dassault Aviation;Var 2020_2021;0.319373634377276;0.172195303764443;-0.454545454545455;-0.158371040723982;0.182700021880242;0.162280701754386;3.94336283185841;0.558762886597938;2.43822393822394;1
FDJ;Var 2018_2019;0.0848585690515807;0.131698455949137;5;1.38541666666667;0.292134831460674;0.00886524822695036;-0.104267487901452;-1.18192918192918;0.247767857142857;1
FDJ;Var 2019_2020;-0.0184049079754601;-0.0842696629213483;-0.4375;1.22707423580786;0.0142608695652174;0.228471001757469;2.3688605108055;-1.21600447677672;2.89922480620155;1
FDJ;Var 2020_2021;0.175;0.157756354075372;0;-0.0470588235294118;0.102194787379973;0.185979971387697;-0.128881761189678;0.238636363636364;-0.201712800122343;1
Group SEB;Var 2018_2019;0.0795654726952437;0.0969682386910492;0.132075471698113;0.238966630785791;0.104281475201357;0.139141742522757;-0.0576126001657917;0.0149041873669269;-0.153467153284672;0
Group SEB;Var 2019_2020;-0.0562958933913516;-0.0557139723623603;2.47777777777778;-0.00695047784535187;0.186180422264875;0.0407153729071537;0.411083418853541;-2.12932276657061;0.733347704246605;1
Group SEB;Var 2020_2021;0.161239193083573;0.159581881533101;0.119009584664537;-0.0240594925634296;0.0921251348435815;0.203290676416819;-0.40425974025974;1.41187982042132;-0.514736973013307;0
JCD;Var 2018_2019;0.0965105312794719;0.0936952714535902;0.920382165605096;-0.143018441851712;-0.0144287396937574;0.0753911806543385;0.20870265914585;0.64322120285423;0.204081632653061;0
JCD;Var 2019_2020;-0.397935779816514;-0.271817453963171;-0.021558872305141;0.172815107597716;0.00248979185340106;-0.288800705467372;-0.408;0.214285714285714;-0.40321141837645;1
JCD;Var 2020_2021;0.201428571428571;0.0841121495327103;-0.440677966101695;-0.0881857330087999;-0.0566262666401748;0.0192188468691878;0.128378378378378;0.370909090909091;0.245142002989537;1
L'Oreal;Var 2019_2020;-0.0629979246167236;-0.0668319900805952;0.0178359096313912;-0.204517704517705;-0.00463364528646428;-0.0145109766872834;0.0303368992495609;-1.04573643410853;0.0892289348171701;0
